Type,text,text,obo id,doi,text,obo id,integer,integer,integer,obo id,float,float,float
1331,91706.segmentations.ome.tiff,arteries-arterioles,UBERON:0001637,dx.doi.org/10.17504/protocols.io.dm6gp35p8vzp/v1,STELLAR,UBERON:0001637,52193,61397,0,UBERON:0003509,337.625,9.778803608,0.127827498
1330,91706.segmentations.ome.tiff,arteries-arterioles,UBERON:0001637,dx.doi.org/10.17504/protocols.io.dm6gp35p8vzp/v1,STELLAR,UBERON:0001637,48157,61392,0,UBERON:0003509,451.9375,10.43132302,0.053590229
1329,91706.segmentations.ome.tiff,arteries-arterioles,UBERON:0001637,dx.doi.org/10.17504/protocols.io.dm6gp35p8vzp/v1,STELLAR,UBERON:0001637,21102,61236,0,UBERON:0003509,428.625,8.25,0.135519271
1328,91706.segmentations.ome.tiff,arteries-arterioles,UBERON:0001637,dx.doi.org/10.17504/protocols.io.dm6gp35p8vzp/v1,STELLAR,UBERON:0001637,40222,61234,0,UBERON:0003509,345.625,9.864709828,0.107520666
1327,91706.segmentations.ome.tiff,arteries-arterioles,UBERON:0001637,dx.doi.org/10.17504/protocols.io.dm6gp35p8vzp/v1,STELLAR,UBERON:0001637,28492,61440,0,UBERON:0003509,40650.28125,63.30284354,0.71535218
1326,91706.segmentations.ome.tiff,arteries-arterioles,UBERON:0001637,dx.doi.org/10.17504/protocols.io.dm6gp35p8vzp/v1,STELLAR,UBERON:0001637,20832,61178,0,UBERON:0003509,3979.875,26.74065257,0.30178793
1325,91706.segmentations.ome.tiff,arteries-arterioles,UBERON:0001637,dx.doi.org/10.17504/protocols.io.dm6gp35p8vzp/v1,STELLAR,UBERON:0001637,48658,60912,0,UBERON:0003509,1299.5,12.37436867,0.157790872
1324,91706.segmentations.ome.tiff,arteries-arterioles,UBERON:0001637,dx.doi.org/10.17504/protocols.io.dm6gp35p8vzp/v1,STELLAR,UBERON:0001637,43678,60791,0,UBERON:0003509,711.9375,10.84550598,0.083111643
1323,91706.segmentations.ome.tiff,arteries-arterioles,UBERON:0001637,dx.doi.org/10.17504/protocols.io.dm6gp35p8vzp/v1,STELLAR,UBERON:0001637,46157,60629,0,UBERON:0003509,953.9375,12.74754878,0.083205029
1322,91706.segmentations.ome.tiff,arteries-arterioles,UBERON:0001637,dx.doi.org/10.17504/protocols.io.dm6gp35p8vzp/v1,STELLAR,UBERON:0001637,42782,60618,0,UBERON:0003509,903.5625,13,0.164307764
1321,91706.segmentations.ome.tiff,arteries-arterioles,UBERON:0001637,dx.doi.org/10.17504/protocols.io.dm6gp35p8vzp/v1,STELLAR,UBERON:0001637,48741,60511,0,UBERON:0003509,770.53125,14.08012784,0.167505246
1320,91706.segmentations.ome.tiff,arteries-arterioles,UBERON:0001637,dx.doi.org/10.17504/protocols.io.dm6gp35p8vzp/v1,STELLAR,UBERON:0001637,38500,60542,0,UBERON:0003509,1417.03125,13.13868334,0.357499563
1319,91706.segmentations.ome.tiff,arteries-arterioles,UBERON:0001637,dx.doi.org/10.17504/protocols.io.dm6gp35p8vzp/v1,STELLAR,UBERON:0001637,46237,60302,0,UBERON:0003509,3789.71875,28.25442443,0.044240859
1318,91706.segmentations.ome.tiff,arteries-arterioles,UBERON:0001637,dx.doi.org/10.17504/protocols.io.dm6gp35p8vzp/v1,STELLAR,UBERON:0001637,39595,60173,0,UBERON:0003509,974.0625,15.20690633,0.092998111
1317,91706.segmentations.ome.tiff,arteries-arterioles,UBERON:0001637,dx.doi.org/10.17504/protocols.io.dm6gp35p8vzp/v1,STELLAR,UBERON:0001637,40217,60031,0,UBERON:0003509,717.59375,10.0623059,0.21372649
1316,91706.segmentations.ome.tiff,arteries-arterioles,UBERON:0001637,dx.doi.org/10.17504/protocols.io.dm6gp35p8vzp/v1,STELLAR,UBERON:0001637,34573,59964,0,UBERON:0003509,417.1875,10.05609268,0.070316255
1315,91706.segmentations.ome.tiff,arteries-arterioles,UBERON:0001637,dx.doi.org/10.17504/protocols.io.dm6gp35p8vzp/v1,STELLAR,UBERON:0001637,48239,59976,0,UBERON:0003509,799.5,13.84061054,0.121168859
1314,91706.segmentations.ome.tiff,arteries-arterioles,UBERON:0001637,dx.doi.org/10.17504/protocols.io.dm6gp35p8vzp/v1,STELLAR,UBERON:0001637,54409,59861,0,UBERON:0003509,376.78125,8.403868157,0.492420426
1313,91706.segmentations.ome.tiff,arteries-arterioles,UBERON:0001637,dx.doi.org/10.17504/protocols.io.dm6gp35p8vzp/v1,STELLAR,UBERON:0001637,32854,59758,0,UBERON:0003509,372.53125,9.650129533,0.279020338
1312,91706.segmentations.ome.tiff,arteries-arterioles,UBERON:0001637,dx.doi.org/10.17504/protocols.io.dm6gp35p8vzp/v1,STELLAR,UBERON:0001637,42060,59271,0,UBERON:0003509,691.1875,12.07528468,0.062110337
1311,91706.segmentations.ome.tiff,arteries-arterioles,UBERON:0001637,dx.doi.org/10.17504/protocols.io.dm6gp35p8vzp/v1,STELLAR,UBERON:0001637,46313,59250,0,UBERON:0003509,906.375,15.10173831,0.111050195
1310,91706.segmentations.ome.tiff,arteries-arterioles,UBERON:0001637,dx.doi.org/10.17504/protocols.io.dm6gp35p8vzp/v1,STELLAR,UBERON:0001637,46627,59082,0,UBERON:0003509,7247.6875,27.8298401,0.385857977
1309,91706.segmentations.ome.tiff,arteries-arterioles,UBERON:0001637,dx.doi.org/10.17504/protocols.io.dm6gp35p8vzp/v1,STELLAR,UBERON:0001637,23891,58858,0,UBERON:0003509,861.09375,10.73545528,0.198966963
1308,91706.segmentations.ome.tiff,arteries-arterioles,UBERON:0001637,dx.doi.org/10.17504/protocols.io.dm6gp35p8vzp/v1,STELLAR,UBERON:0001637,44653,58743,0,UBERON:0003509,512.625,10.40432602,0.107458569
1307,91706.segmentations.ome.tiff,arteries-arterioles,UBERON:0001637,dx.doi.org/10.17504/protocols.io.dm6gp35p8vzp/v1,STELLAR,UBERON:0001637,24029,58739,0,UBERON:0003509,2691.875,13.10772673,0.333090733
1306,91706.segmentations.ome.tiff,arteries-arterioles,UBERON:0001637,dx.doi.org/10.17504/protocols.io.dm6gp35p8vzp/v1,STELLAR,UBERON:0001637,22166,58640,0,UBERON:0003509,254.0625,8.050621094,0.267132348
1305,91706.segmentations.ome.tiff,arteries-arterioles,UBERON:0001637,dx.doi.org/10.17504/protocols.io.dm6gp35p8vzp/v1,STELLAR,UBERON:0001637,46387,58717,0,UBERON:0003509,2634.625,16.15936261,0.201121794
1304,91706.segmentations.ome.tiff,arteries-arterioles,UBERON:0001637,dx.doi.org/10.17504/protocols.io.dm6gp35p8vzp/v1,STELLAR,UBERON:0001637,43299,58580,0,UBERON:0003509,518.96875,10.51189802,0.121267813
1303,91706.segmentations.ome.tiff,arteries-arterioles,UBERON:0001637,dx.doi.org/10.17504/protocols.io.dm6gp35p8vzp/v1,STELLAR,UBERON:0001637,55162,58570,0,UBERON:0003509,532.90625,11.14955156,0.080845208
1302,91706.segmentations.ome.tiff,arteries-arterioles,UBERON:0001637,dx.doi.org/10.17504/protocols.io.dm6gp35p8vzp/v1,STELLAR,UBERON:0001637,45129,58642,0,UBERON:0003509,2713.09375,12.35161933,0.080961044
1301,91706.segmentations.ome.tiff,arteries-arterioles,UBERON:0001637,dx.doi.org/10.17504/protocols.io.dm6gp35p8vzp/v1,STELLAR,UBERON:0001637,43601,58462,0,UBERON:0003509,5048.6875,32.88806775,0.122571168
1300,91706.segmentations.ome.tiff,arteries-arterioles,UBERON:0001637,dx.doi.org/10.17504/protocols.io.dm6gp35p8vzp/v1,STELLAR,UBERON:0001637,51855,58349,0,UBERON:0003509,365.0625,10.2774024,0.359157462
1299,91706.segmentations.ome.tiff,arteries-arterioles,UBERON:0001637,dx.doi.org/10.17504/protocols.io.dm6gp35p8vzp/v1,STELLAR,UBERON:0001637,42487,58283,0,UBERON:0003509,440.5625,10.30776406,0.076696499
1298,91706.segmentations.ome.tiff,arteries-arterioles,UBERON:0001637,dx.doi.org/10.17504/protocols.io.dm6gp35p8vzp/v1,STELLAR,UBERON:0001637,41460,58220,0,UBERON:0003509,2101.78125,15.5724115,0.203069233
1297,91706.segmentations.ome.tiff,arteries-arterioles,UBERON:0001637,dx.doi.org/10.17504/protocols.io.dm6gp35p8vzp/v1,STELLAR,UBERON:0001637,32119,58028,0,UBERON:0003509,633.28125,13.0981869,0.060357164
1296,91706.segmentations.ome.tiff,arteries-arterioles,UBERON:0001637,dx.doi.org/10.17504/protocols.io.dm6gp35p8vzp/v1,STELLAR,UBERON:0001637,32277,58319,0,UBERON:0003509,8495.15625,28.61926799,0.078131557
1295,91706.segmentations.ome.tiff,arteries-arterioles,UBERON:0001637,dx.doi.org/10.17504/protocols.io.dm6gp35p8vzp/v1,STELLAR,UBERON:0001637,52953,58075,0,UBERON:0003509,3520.8125,15.20074011,0.174829412
1294,91706.segmentations.ome.tiff,arteries-arterioles,UBERON:0001637,dx.doi.org/10.17504/protocols.io.dm6gp35p8vzp/v1,STELLAR,UBERON:0001637,52573,57391,0,UBERON:0003509,6700.90625,27.44653894,0.109682268
1293,91706.segmentations.ome.tiff,arteries-arterioles,UBERON:0001637,dx.doi.org/10.17504/protocols.io.dm6gp35p8vzp/v1,STELLAR,UBERON:0001637,26139,57185,0,UBERON:0003509,1289.28125,12.25,0.216941751
1292,91706.segmentations.ome.tiff,arteries-arterioles,UBERON:0001637,dx.doi.org/10.17504/protocols.io.dm6gp35p8vzp/v1,STELLAR,UBERON:0001637,52233,57055,0,UBERON:0003509,1239.65625,15.54228104,0.170987543
1291,91706.segmentations.ome.tiff,arteries-arterioles,UBERON:0001637,dx.doi.org/10.17504/protocols.io.dm6gp35p8vzp/v1,STELLAR,UBERON:0001637,36658,57220,0,UBERON:0003509,9754.03125,23.16381877,0.320526649
1290,91706.segmentations.ome.tiff,arteries-arterioles,UBERON:0001637,dx.doi.org/10.17504/protocols.io.dm6gp35p8vzp/v1,STELLAR,UBERON:0001637,52246,56896,0,UBERON:0003509,2915.25,23,0.068745167
1289,91706.segmentations.ome.tiff,arteries-arterioles,UBERON:0001637,dx.doi.org/10.17504/protocols.io.dm6gp35p8vzp/v1,STELLAR,UBERON:0001637,33635,56833,0,UBERON:0003509,3152.15625,18.79162047,0.203073726
1288,91706.segmentations.ome.tiff,arteries-arterioles,UBERON:0001637,dx.doi.org/10.17504/protocols.io.dm6gp35p8vzp/v1,STELLAR,UBERON:0001637,8905,56708,0,UBERON:0003509,588.53125,10.57414299,0.418947549
1286,91706.segmentations.ome.tiff,arteries-arterioles,UBERON:0001637,dx.doi.org/10.17504/protocols.io.dm6gp35p8vzp/v1,STELLAR,UBERON:0001637,50846,56625,0,UBERON:0003509,604.8125,12.36931688,0.045193845
1285,91706.segmentations.ome.tiff,arteries-arterioles,UBERON:0001637,dx.doi.org/10.17504/protocols.io.dm6gp35p8vzp/v1,STELLAR,UBERON:0001637,7684,56653,0,UBERON:0003509,2123.53125,22.13735531,0.476457617
1284,91706.segmentations.ome.tiff,arteries-arterioles,UBERON:0001637,dx.doi.org/10.17504/protocols.io.dm6gp35p8vzp/v1,STELLAR,UBERON:0001637,43152,56562,0,UBERON:0003509,1299.40625,17.2209901,0.267683345
1283,91706.segmentations.ome.tiff,arteries-arterioles,UBERON:0001637,dx.doi.org/10.17504/protocols.io.dm6gp35p8vzp/v1,STELLAR,UBERON:0001637,30599,56544,0,UBERON:0003509,356.9375,4.697073557,0.212898518
1282,91706.segmentations.ome.tiff,arteries-arterioles,UBERON:0001637,dx.doi.org/10.17504/protocols.io.dm6gp35p8vzp/v1,STELLAR,UBERON:0001637,34208,56536,0,UBERON:0003509,2033.15625,24.38237068,0.134861234
1281,91706.segmentations.ome.tiff,arteries-arterioles,UBERON:0001637,dx.doi.org/10.17504/protocols.io.dm6gp35p8vzp/v1,STELLAR,UBERON:0001637,55627,56483,0,UBERON:0003509,1052.40625,15.99413955,0.113793397
1280,91706.segmentations.ome.tiff,arteries-arterioles,UBERON:0001637,dx.doi.org/10.17504/protocols.io.dm6gp35p8vzp/v1,STELLAR,UBERON:0001637,8286,56439,0,UBERON:0003509,939.59375,15.502016,0.29073245
1279,91706.segmentations.ome.tiff,arteries-arterioles,UBERON:0001637,dx.doi.org/10.17504/protocols.io.dm6gp35p8vzp/v1,STELLAR,UBERON:0001637,7810,56421,0,UBERON:0003509,2521.875,17.14825064,0.233259945
1278,91706.segmentations.ome.tiff,arteries-arterioles,UBERON:0001637,dx.doi.org/10.17504/protocols.io.dm6gp35p8vzp/v1,STELLAR,UBERON:0001637,44879,56649,0,UBERON:0003509,13595.71875,32.2684056,0.275118658
1277,91706.segmentations.ome.tiff,arteries-arterioles,UBERON:0001637,dx.doi.org/10.17504/protocols.io.dm6gp35p8vzp/v1,STELLAR,UBERON:0001637,10050,56327,0,UBERON:0003509,1631.71875,21.02379604,0.155043418
1276,91706.segmentations.ome.tiff,arteries-arterioles,UBERON:0001637,dx.doi.org/10.17504/protocols.io.dm6gp35p8vzp/v1,STELLAR,UBERON:0001637,55245,56291,0,UBERON:0003509,1250.3125,19.00164467,0.372594123
1275,91706.segmentations.ome.tiff,arteries-arterioles,UBERON:0001637,dx.doi.org/10.17504/protocols.io.dm6gp35p8vzp/v1,STELLAR,UBERON:0001637,6759,56296,0,UBERON:0003509,1686.40625,20.95381827,0.19238159
1274,91706.segmentations.ome.tiff,arteries-arterioles,UBERON:0001637,dx.doi.org/10.17504/protocols.io.dm6gp35p8vzp/v1,STELLAR,UBERON:0001637,40311,56250,0,UBERON:0003509,529.46875,11.75,0.063829787
1273,91706.segmentations.ome.tiff,arteries-arterioles,UBERON:0001637,dx.doi.org/10.17504/protocols.io.dm6gp35p8vzp/v1,STELLAR,UBERON:0001637,34418,56273,0,UBERON:0003509,1964.25,16.95029498,0.193992884
1272,91706.segmentations.ome.tiff,arteries-arterioles,UBERON:0001637,dx.doi.org/10.17504/protocols.io.dm6gp35p8vzp/v1,STELLAR,UBERON:0001637,6442,56194,0,UBERON:0003509,730.21875,11.33854047,0.198438239
1271,91706.segmentations.ome.tiff,arteries-arterioles,UBERON:0001637,dx.doi.org/10.17504/protocols.io.dm6gp35p8vzp/v1,STELLAR,UBERON:0001637,7827,56188,0,UBERON:0003509,2806.625,25.06117515,0.563245503
1270,91706.segmentations.ome.tiff,arteries-arterioles,UBERON:0001637,dx.doi.org/10.17504/protocols.io.dm6gp35p8vzp/v1,STELLAR,UBERON:0001637,8606,56169,0,UBERON:0003509,4204.9375,22.61774746,0.199265603
1269,91706.segmentations.ome.tiff,arteries-arterioles,UBERON:0001637,dx.doi.org/10.17504/protocols.io.dm6gp35p8vzp/v1,STELLAR,UBERON:0001637,36963,56112,0,UBERON:0003509,609.34375,11.91899744,0.066328516
1268,91706.segmentations.ome.tiff,arteries-arterioles,UBERON:0001637,dx.doi.org/10.17504/protocols.io.dm6gp35p8vzp/v1,STELLAR,UBERON:0001637,3541,56148,0,UBERON:0003509,2080.15625,19.3342313,0.540145565
1267,91706.segmentations.ome.tiff,arteries-arterioles,UBERON:0001637,dx.doi.org/10.17504/protocols.io.dm6gp35p8vzp/v1,STELLAR,UBERON:0001637,27049,56085,0,UBERON:0003509,871.6875,12.41219159,0.18015094
1266,91706.segmentations.ome.tiff,arteries-arterioles,UBERON:0001637,dx.doi.org/10.17504/protocols.io.dm6gp35p8vzp/v1,STELLAR,UBERON:0001637,10232,56059,0,UBERON:0003509,316,9.75,0.236398576
1265,91706.segmentations.ome.tiff,arteries-arterioles,UBERON:0001637,dx.doi.org/10.17504/protocols.io.dm6gp35p8vzp/v1,STELLAR,UBERON:0001637,52695,56075,0,UBERON:0003509,698.625,13.30648338,0.084021748
1264,91706.segmentations.ome.tiff,arteries-arterioles,UBERON:0001637,dx.doi.org/10.17504/protocols.io.dm6gp35p8vzp/v1,STELLAR,UBERON:0001637,31317,56069,0,UBERON:0003509,1405.78125,18.50675552,0.169262031
1263,91706.segmentations.ome.tiff,arteries-arterioles,UBERON:0001637,dx.doi.org/10.17504/protocols.io.dm6gp35p8vzp/v1,STELLAR,UBERON:0001637,55336,56036,0,UBERON:0003509,459.03125,10.54751155,0.460214899
1262,91706.segmentations.ome.tiff,arteries-arterioles,UBERON:0001637,dx.doi.org/10.17504/protocols.io.dm6gp35p8vzp/v1,STELLAR,UBERON:0001637,43263,56193,0,UBERON:0003509,6969.625,21.43886657,0.152041676
1261,91706.segmentations.ome.tiff,arteries-arterioles,UBERON:0001637,dx.doi.org/10.17504/protocols.io.dm6gp35p8vzp/v1,STELLAR,UBERON:0001637,42431,56057,0,UBERON:0003509,1086.53125,16.90044378,0.079660109
1260,91706.segmentations.ome.tiff,arteries-arterioles,UBERON:0001637,dx.doi.org/10.17504/protocols.io.dm6gp35p8vzp/v1,STELLAR,UBERON:0001637,41799,55986,0,UBERON:0003509,460.25,9.737171047,0.081190873
1259,91706.segmentations.ome.tiff,arteries-arterioles,UBERON:0001637,dx.doi.org/10.17504/protocols.io.dm6gp35p8vzp/v1,STELLAR,UBERON:0001637,6303,56001,0,UBERON:0003509,1061.34375,17.45888026,0.250486506
1258,91706.segmentations.ome.tiff,arteries-arterioles,UBERON:0001637,dx.doi.org/10.17504/protocols.io.dm6gp35p8vzp/v1,STELLAR,UBERON:0001637,55575,56134,0,UBERON:0003509,7030.09375,34.50090579,0.355063142
1257,91706.segmentations.ome.tiff,arteries-arterioles,UBERON:0001637,dx.doi.org/10.17504/protocols.io.dm6gp35p8vzp/v1,STELLAR,UBERON:0001637,3865,55998,0,UBERON:0003509,2017.15625,14.31127178,0.110482063
1256,91706.segmentations.ome.tiff,arteries-arterioles,UBERON:0001637,dx.doi.org/10.17504/protocols.io.dm6gp35p8vzp/v1,STELLAR,UBERON:0001637,11961,56066,0,UBERON:0003509,2313.1875,25,0.511566222
1255,91706.segmentations.ome.tiff,arteries-arterioles,UBERON:0001637,dx.doi.org/10.17504/protocols.io.dm6gp35p8vzp/v1,STELLAR,UBERON:0001637,4281,56266,0,UBERON:0003509,40164.9375,73.90238494,0.775917783
1254,91706.segmentations.ome.tiff,arteries-arterioles,UBERON:0001637,dx.doi.org/10.17504/protocols.io.dm6gp35p8vzp/v1,STELLAR,UBERON:0001637,11039,56052,0,UBERON:0003509,6127.09375,28.42534081,0.161693543
1253,91706.segmentations.ome.tiff,arteries-arterioles,UBERON:0001637,dx.doi.org/10.17504/protocols.io.dm6gp35p8vzp/v1,STELLAR,UBERON:0001637,37563,55854,0,UBERON:0003509,541.5,9.620940702,0.058104193
1252,91706.segmentations.ome.tiff,arteries-arterioles,UBERON:0001637,dx.doi.org/10.17504/protocols.io.dm6gp35p8vzp/v1,STELLAR,UBERON:0001637,46669,55883,0,UBERON:0003509,1611.4375,13.77724573,0.108875172
1251,91706.segmentations.ome.tiff,arteries-arterioles,UBERON:0001637,dx.doi.org/10.17504/protocols.io.dm6gp35p8vzp/v1,STELLAR,UBERON:0001637,52324,56124,0,UBERON:0003509,7103.96875,22.66743259,0.064309796
1250,91706.segmentations.ome.tiff,arteries-arterioles,UBERON:0001637,dx.doi.org/10.17504/protocols.io.dm6gp35p8vzp/v1,STELLAR,UBERON:0001637,5576,56018,0,UBERON:0003509,17218.0625,61.14940719,0.728150568
1249,91706.segmentations.ome.tiff,arteries-arterioles,UBERON:0001637,dx.doi.org/10.17504/protocols.io.dm6gp35p8vzp/v1,STELLAR,UBERON:0001637,4223,55766,0,UBERON:0003509,457.21875,9.192388155,0.475742957
1248,91706.segmentations.ome.tiff,arteries-arterioles,UBERON:0001637,dx.doi.org/10.17504/protocols.io.dm6gp35p8vzp/v1,STELLAR,UBERON:0001637,37655,55713,0,UBERON:0003509,609.8125,12.20655562,0.040961596
1247,91706.segmentations.ome.tiff,arteries-arterioles,UBERON:0001637,dx.doi.org/10.17504/protocols.io.dm6gp35p8vzp/v1,STELLAR,UBERON:0001637,34683,55701,0,UBERON:0003509,759,13.95080643,0.071680444
1246,91706.segmentations.ome.tiff,arteries-arterioles,UBERON:0001637,dx.doi.org/10.17504/protocols.io.dm6gp35p8vzp/v1,STELLAR,UBERON:0001637,30336,55613,0,UBERON:0003509,825.0625,14.75,0.144813623
1245,91706.segmentations.ome.tiff,arteries-arterioles,UBERON:0001637,dx.doi.org/10.17504/protocols.io.dm6gp35p8vzp/v1,STELLAR,UBERON:0001637,11738,55628,0,UBERON:0003509,1552.96875,13.15769737,0.290648472
1244,91706.segmentations.ome.tiff,arteries-arterioles,UBERON:0001637,dx.doi.org/10.17504/protocols.io.dm6gp35p8vzp/v1,STELLAR,UBERON:0001637,30515,55625,0,UBERON:0003509,1754.65625,21.66217902,0.192078056
1243,91706.segmentations.ome.tiff,arteries-arterioles,UBERON:0001637,dx.doi.org/10.17504/protocols.io.dm6gp35p8vzp/v1,STELLAR,UBERON:0001637,31542,55535,0,UBERON:0003509,429.46875,10.04054281,0.111351947
1242,91706.segmentations.ome.tiff,arteries-arterioles,UBERON:0001637,dx.doi.org/10.17504/protocols.io.dm6gp35p8vzp/v1,STELLAR,UBERON:0001637,36498,55423,0,UBERON:0003509,1245.65625,14.20607265,0.055650104
1241,91706.segmentations.ome.tiff,arteries-arterioles,UBERON:0001637,dx.doi.org/10.17504/protocols.io.dm6gp35p8vzp/v1,STELLAR,UBERON:0001637,4646,55317,0,UBERON:0003509,1026.28125,11.03687003,0.272758367
1240,91706.segmentations.ome.tiff,arteries-arterioles,UBERON:0001637,dx.doi.org/10.17504/protocols.io.dm6gp35p8vzp/v1,STELLAR,UBERON:0001637,3848,55185,0,UBERON:0003509,34.625,3.5,0
1239,91706.segmentations.ome.tiff,arteries-arterioles,UBERON:0001637,dx.doi.org/10.17504/protocols.io.dm6gp35p8vzp/v1,STELLAR,UBERON:0001637,4156,55237,0,UBERON:0003509,1938.71875,13.5,0.301459641
